,col,contain_test,contain_train
0,Neighborhood,1,1
1,LotArea,1,1
2,GarageFinish,1,1
3,Exterior2nd,1,1
4,BsmtFinType2,1,1
5,3SsnPorch,1,1
6,Fence,1,1
7,RoofMatl,1,1
8,BsmtFullBath,1,1
9,WoodDeckSF,1,1
10,BsmtCond,1,1
11,Electrical,1,1
12,MSSubClass,1,1
13,OverallQual,1,1
14,LotShape,1,1
15,EnclosedPorch,1,1
16,Functional,1,1
17,Utilities,1,1
18,2ndFlrSF,1,1
19,BsmtFinSF2,1,1
20,GarageType,1,1
21,OpenPorchSF,1,1
22,MiscVal,1,1
23,Fireplaces,1,1
24,KitchenAbvGr,1,1
25,SaleCondition,1,1
26,FullBath,1,1
27,PoolArea,1,1
28,GarageCond,1,1
29,MasVnrType,1,1
30,Foundation,1,1
31,PoolQC,1,1
32,YearRemodAdd,1,1
33,GarageQual,1,1
34,LotConfig,1,1
35,Street,1,1
36,Condition1,1,1
37,Condition2,1,1
38,YrSold,1,1
39,BsmtExposure,1,1
40,CentralAir,1,1
41,LandSlope,1,1
42,Alley,1,1
43,GarageArea,1,1
44,SaleType,1,1
45,MiscFeature,1,1
46,FireplaceQu,1,1
47,GrLivArea,1,1
48,OverallCond,1,1
49,BsmtFinType1,1,1
50,TotalBsmtSF,1,1
51,YearBuilt,1,1
52,RoofStyle,1,1
53,BsmtFinSF1,1,1
54,BsmtQual,1,1
55,ExterCond,1,1
56,HouseStyle,1,1
57,MoSold,1,1
58,BldgType,1,1
59,ScreenPorch,1,1
60,SalePrice,0,1
61,KitchenQual,1,1
62,MasVnrArea,1,1
63,Exterior1st,1,1
64,BsmtHalfBath,1,1
65,Heating,1,1
66,Id,1,1
67,1stFlrSF,1,1
68,BsmtUnfSF,1,1
69,LandContour,1,1
70,HeatingQC,1,1
71,BedroomAbvGr,1,1
72,PavedDrive,1,1
73,ExterQual,1,1
74,GarageCars,1,1
75,TotRmsAbvGrd,1,1
76,LowQualFinSF,1,1
77,train1_test0,1,1
78,LotFrontage,1,1
79,GarageYrBlt,1,1
80,HalfBath,1,1
81,MSZoning,1,1
